place_original	place_reconciled	place_wikidata_id	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Varese	Varese	Q6285	45.816666666667,8.8333333333333	POINT(8.8333333333333 45.816666666667)	4119370-2	/m/0ggt2	6542112		http://purl.org/net7/korbo2/item/383
Venedig	Venice	Q641	45.439722222222,12.331944444444	POINT(12.331944444444 45.439722222222)	4062501-1	/m/07_pf	6542284	7018159	http://purl.org/net7/korbo2/item/269
Venice	Venice	Q641	45.439722222222,12.331944444444	POINT(12.331944444444 45.439722222222)	4062501-1	/m/07_pf	6542284	7018159	http://korbo2.org/v1/items/2316
Verona	Verona	Q2028	45.438158333333,10.993741666667	POINT(10.993741666667 45.438158333333)	4063110-2	/m/01n43d	6541865	7003262	http://purl.org/net7/korbo2/item/792
Vitznau	Vitznau	Q14578	47.009166666667,8.4833333333333	POINT(8.4833333333333 47.009166666667)	4108319-2	/m/03rv9t	7287489		http://purl.org/net7/korbo2/item/447
Washington, DC	Washington, D.C.	Q61	38.895,-77.036666666667	POINT(-77.036666666667 38.895)	4064682-8	/m/0rh6k	4140963	7013962	http://korbo2.org/v1/items/104926
Weggis	Weggis	Q14580	47.032222222222,8.4383333333333	POINT(8.4383333333333 47.032222222222)		/m/0d8rdf	7287553		http://purl.org/net7/korbo2/item/407
Weimar	Weimar	Q3955	50.983333333333,11.316666666667	POINT(11.316666666667 50.983333333333)	4065105-8	/m/0cpyv	2812479		http://purl.org/net7/korbo2/item/451
Weissbad	Weissbad	Q1443392	47.310277777778,9.4352777777778	POINT(9.4352777777778 47.310277777778)					http://purl.org/net7/korbo2/item/770
Wenken	Q1650264	Q1650264	47.575,7.6527777777778	POINT(7.6527777777778 47.575)					http://purl.org/net7/korbo2/item/276
Wien	Vienna	Q1741	48.20833,16.373064	POINT(16.373064 48.20833)	4066009-6	/m/0fhp9	2761333	7003321	http://purl.org/net7/korbo2/item/262
Wiesbaden	Wiesbaden	Q1721	50.0825,8.24	POINT(8.24 50.0825)	4066043-6	/m/0bp_7	3208839		http://purl.org/net7/korbo2/item/354
Wildegg	Möriken-Wildegg	Q65227	47.416388888889,8.1830555555556	POINT(8.1830555555556 47.416388888889)	4290150-9	/m/0fzk16	2659583		http://purl.org/net7/korbo2/item/215
Wilhelmsdorf (Landkreis Ravensburg)	Wilhelmsdorf	Q557779	47.865,9.4275	POINT(9.4275 47.865)	4108870-0	/m/02p_wbp	6556075		http://korbo2.org/v1/items/104816
Wilsdruff	Wilsdruff	Q8248	51.052222222222,13.538333333333	POINT(13.538333333333 51.052222222222)	4317099-7	/m/05__s9	2808436	1037999	http://purl.org/net7/korbo2/item/428
Winterthur	Winterthur	Q9125	47.4992,8.72671	POINT(8.72671 47.4992)	4066337-1	/m/02h_9x	7287592	7007301	http://purl.org/net7/korbo2/item/260
Wooster	Wooster	Q989567	40.8092,-81.9372	POINT(-81.9372 40.8092)	4351701-8	/m/0z38m	5177358		http://purl.org/net7/korbo2/item/769
Wuerzburg	Würzburg	Q2999	49.794444444444,9.9294444444444	POINT(9.9294444444444 49.794444444444)	4067037-5	/m/01pqfc	2805615	7004335	http://purl.org/net7/korbo2/item/771
Zürich	Zürich	Q72	47.378611111111,8.54	POINT(8.54 47.378611111111)	4068038-1	/m/08966	7287650	7007302	http://purl.org/net7/korbo2/item/54
Zweibrücken	Zweibrücken	Q16017	49.249444444444,7.3608333333333	POINT(7.3608333333333 49.249444444444)	4068199-3	/m/0f_s1	2803620		http://purl.org/net7/korbo2/item/104886
