place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Aachen	Aachen	Q1017	Großstadt in Nordrhein-Westfalen, Deutschland	city in North Rhine-Westphalia, Germany	https://upload.wikimedia.org/wikipedia/commons/3/39/Blick_AC_Dom_von_St_Jakob.JPG	50.776207,6.083788	POINT(6.083788 50.776207)	4000003-5	/m/0qjd	3247449	7004799	http://purl.org/net7/korbo2/item/404
Aarau	Aarau	Q14274	politische Gemeinde, Hauptort des Kantons Aargau, Schweiz	capital of Canton Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/f/f0/Aarau_Altstadt_Kirche_8941.jpg	47.3923,8.0446	POINT(8.0446 47.3923)	4000018-7	/m/0zq6	7285013		http://purl.org/net7/korbo2/item/423
Aigle	Aigle	Q43195	Gemeinde im Kanton Waadt in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/5/53/Aigle.jpg	46.3173,6.9646	POINT(6.9646 46.3173)	4289597-2	/m/02md8j	7285042		http://korbo2.org/v1/items/2161
Aigle (Waadt)	Aigle	Q43195	Gemeinde im Kanton Waadt in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/5/53/Aigle.jpg	46.3173,6.9646	POINT(6.9646 46.3173)	4289597-2	/m/02md8j	7285042		http://purl.org/net7/korbo2/item/2161
Amsterdam	Amsterdam	Q727	Hauptstadt der Niederlande	capital and largest city of the Netherlands	https://upload.wikimedia.org/wikipedia/commons/7/74/AmsterdamLuchtfotoBmz.jpg	52.383333333333,4.9	POINT(4.9 52.383333333333)	4001783-7	/m/0k3p	2759794	7006952	http://purl.org/net7/korbo2/item/3011
Anticoli Corrado	Anticoli Corrado	Q241708	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/1/19/Anticoli_Corrado_01.jpg	42.016666666667,12.983333333333	POINT(12.983333333333 42.016666666667)	4428359-3	/m/0gm6r6	6538667		http://purl.org/net7/korbo2/item/791
Anvers	Antwerp	Q12892	belgische Großstadt	city in the province of Antwerp, Belgium	https://upload.wikimedia.org/wikipedia/commons/6/6d/Antwerpen_vanop_mas_2.JPG	51.217777777778,4.4002777777778	POINT(4.4002777777778 51.217777777778)	4002364-3	/m/0fydw	2803139	7007856	http://purl.org/net7/korbo2/item/433
Arbon Kt. Thurgau	Arbon	Q64156	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/4/4a/Picswiss_TG-11-01.jpg	47.516666666667,9.4333333333333	POINT(9.4333333333333 47.516666666667)	4085883-2	/m/0g363d	7285089		http://purl.org/net7/korbo2/item/248
Arisdorf	Arisdorf	Q66564	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/e/e9/Arisdorf-olsberg.JPG	47.512777777778,7.765	POINT(7.765 47.512777777778)	4567671-9	/m/0g6f0y	7285094		http://purl.org/net7/korbo2/item/415
Arlesheim	Arlesheim	Q581647	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/33/Arlesheim-Dorf.jpg	47.492222222222,7.6202777777778	POINT(7.6202777777778 47.492222222222)	4002929-3	/m/0g77y5	7285096		http://purl.org/net7/korbo2/item/440
Arosa	Arosa	Q63954	Gemeinde in der Schweiz	resort in the canton of Graubünden, Switzerland	https://upload.wikimedia.org/wikipedia/commons/f/fd/Arosa2007_12_15_001.JPG	46.783055555556,9.6830555555556	POINT(9.6830555555556 46.783055555556)	4079837-9	/m/0643ch	7285102		http://purl.org/net7/korbo2/item/247
Aussersihl	Aussersihl	Q677133	Stadtteil von Zürich	district in Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/c/c0/Z%C3%BCrich_-_Hardau_-_Industriequartier_-_Uetlibergturm_IMG_1596.JPG	47.375,8.527	POINT(8.527 47.375)	4657875-4	/m/02vv251	2661666		http://purl.org/net7/korbo2/item/400
Baden (Aargau)	Baden	Q63939	Gemeinde im Kanton Aargau, Schweiz	municipality in the canton Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/a/ad/Switzerland-Baden-oldcityview.jpg	47.473333333333,8.3041666666667	POINT(8.3041666666667 47.473333333333)	4004164-5	/m/0m38g	7285134	7007314	http://purl.org/net7/korbo2/item/249
Baden-Baden	Baden-Baden	Q4100	kreisfreie Stadt in Baden-Württemberg, Deutschland	town in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/1/1c/Baden-Baden_10-2015_img24_Stiftskirche.jpg	48.761944444444,8.2408333333333	POINT(8.2408333333333 48.761944444444)	4004169-4	/m/0m38x	2953504		http://purl.org/net7/korbo2/item/103482
Badenweiler	Badenweiler	Q25430	Gemeinde in Baden-Württemberg, Deutschland	municipality in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/5/5f/BW13_Park_Therme.jpg	47.801666666667,7.6719444444444	POINT(7.6719444444444 47.801666666667)	4004174-8	/m/0f_cp	2953482		http://purl.org/net7/korbo2/item/256
Baia	Baiae	Q290097	antike Siedlung am Golf von Neapel	human settlement in Bacoli, Metropolitan City of Naples, Campania, Italy	https://upload.wikimedia.org/wikipedia/commons/0/04/Baia_crater_edge.jpg	40.816666666667,14.069722222222	POINT(14.069722222222 40.816666666667)	4080241-3	/m/03m0rg	3182488		http://purl.org/net7/korbo2/item/403
Basel	Basel	Q78	Schweizer Stadt und Hauptort des Kantons Baselstadt	city on the Rhine, in Switzerland	https://upload.wikimedia.org/wikipedia/commons/c/cb/Rhine_Rhein_Basel_2006_871.JPG	47.550555555556,7.5911111111111	POINT(7.5911111111111 47.550555555556)	4004617-5	/m/01k4f	7285161	7007269	http://purl.org/net7/korbo2/item/12
Beinwil	Beinwil	Q65024	Gemeinde im Kanton Aargau in der Schweiz	municipality in Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/9/9d/Beinwil_%28Freiamt%29_196.jpg	47.231666666667,8.3455555555556	POINT(8.3455555555556 47.231666666667)	2112017-1	/m/0flrsg	7285182		http://purl.org/net7/korbo2/item/64
Bellaggio	Bellagio	Q244095	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/d/d7/Bellagio_sfhb.jpg	45.9875,9.2619444444444	POINT(9.2619444444444 45.9875)	4140569-9	/m/033d08	6540160		http://purl.org/net7/korbo2/item/272
Bellinzona	Bellinzona	Q64044	Schweizer Stadt und Hauptort des Kantons Tessin	capital city of the canton of Ticino, Switzerland	https://upload.wikimedia.org/wikipedia/commons/a/a4/Tre_Castelli.jpg	46.195555,9.023809	POINT(9.023809 46.195555)	4005432-9	/m/033v4v	2661567		http://purl.org/net7/korbo2/item/71
Benken	Biel-Benken	Q70067	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/1/11/Biel-Benken%2C_Pfarrkirche_St._Antonius.jpg	47.506944444444,7.525	POINT(7.525 47.506944444444)	4332085-5	/m/0g77yy	6698596		http://purl.org/net7/korbo2/item/432
Bergen	Bergen-Enkheim	Q314066	Stadtteil von Frankfurt am Main	district of Frankfurt, Germany	https://upload.wikimedia.org/wikipedia/commons/b/ba/Bergerrathaus2.JPG	50.155, 8.753056	POINT(8.753056 50.155)	4655518-3	/m/074v3y	2950614		http://purl.org/net7/korbo2/item/452
Berlin	Berlin	Q64	deutsche Großstadt; Hauptstadt und Land der Bundesrepublik Deutschland	capital and largest city of Germany	https://upload.wikimedia.org/wikipedia/commons/0/02/Berlin_Skyline_Fernsehturm_02.jpg	52.516666666667,13.383333333333	POINT(13.383333333333 52.516666666667)	4005728-8	/m/0156q	2950159	7209904	http://purl.org/net7/korbo2/item/13
Bern	Bern	Q70	Bundesstadt der Schweiz und Hauptort des Kantons Bern	capital of Switzerland	https://upload.wikimedia.org/wikipedia/commons/7/75/Bern_luftaufnahme.png	46.94798,7.44743	POINT(7.44743 46.94798)	4005762-8	/m/0d6nx	7285212	7007557	http://purl.org/net7/korbo2/item/25
Bezirk Sigmaringen	Sigmaringen	Q82858	Stadt in Deutschland	municipality in Germany	https://upload.wikimedia.org/wikipedia/commons/1/11/Sigmaringen_schloss.jpg	48.086666666667,9.2163888888889	POINT(9.2163888888889 48.086666666667)	4054930-6	/m/01jlln	2832232		http://korbo2.org/v1/items/104817
Bielefeld	Bielefeld	Q2112	Großstadt in Nordrhein-Westfalen, Deutschland	city in Germany	https://upload.wikimedia.org/wikipedia/commons/d/df/Sparrenburg_innovative_sights.JPG	52.016666666667,8.5166666666667	POINT(8.5166666666667 52.016666666667)	4006510-8	/m/018m98	2949186		http://purl.org/net7/korbo2/item/417
Bischofszell	Bischofszell	Q64865	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/9/98/Bischofszell-Rathaus.jpg	47.499722222222,9.2333333333333	POINT(9.2333333333333 47.499722222222)	4006957-6	/m/0g30fj	8394414		http://korbo2.org/v1/items/104815
Blasewitz	Blasewitz	Q8897	Stadtteil der Landeshauptstadt Dresden, Sachsen, Deutschland	borough of Dresden, Germany	https://upload.wikimedia.org/wikipedia/commons/f/f5/Alexander-Frantz-Sternwarte_in_Blasewitz_3.jpg	51.052777777778,13.795833333333	POINT(13.795833333333 51.052777777778)	5010169-9		2948000		http://korbo2.org/v1/items/102882
Böhmisch Rudoletz	Český Rudolec	Q341258	Gemeinde in Tschechien	Village in Jindřichův Hradec District of South Bohemian region	https://upload.wikimedia.org/wikipedia/commons/a/a1/Z%C3%A1mek_%C4%8Cesk%C3%BD_Rudolec_2007_celkov%C4%9B.jpg	49.068409484688,15.324382292306	POINT(15.324382292306 49.068409484688)	1076805701	/m/07kb37y	3077884		http://korbo2.org/v1/items/103720
Bonn	Bonn	Q586	Großstadt in Nordrhein-Westfalen, ehemalige Hauptstadt der Bundesrepublik Deutschland	city in Germany, former capital	https://upload.wikimedia.org/wikipedia/commons/1/1e/Rathaus_Bonn_136_1-vzkh.jpg	50.733888888889,7.0997222222222	POINT(7.0997222222222 50.733888888889)	4007666-0	/m/0150n	2946447		http://purl.org/net7/korbo2/item/444
Braunau	Braunau am Inn	Q131128	Stadt in Österreich	municipality in Austria	https://upload.wikimedia.org/wikipedia/commons/2/29/Braunau_am_Inn.jpg	48.258333333333,13.033333333333	POINT(13.033333333333 48.258333333333)	4008037-7	/m/0196c5	2781520		http://purl.org/net7/korbo2/item/818
Breslau	Wrocław	Q1799	Stadt in Polen, Hauptstadt der Woiwodschaft Niederschlesien	city in Lower Silesian Voivodeship, Poland	https://upload.wikimedia.org/wikipedia/commons/b/bb/Wroc%C5%82aw_Collage.png	51.10773,17.03533	POINT(17.03533 51.10773)	4008216-7	/m/0845b	7531292	7007601	http://purl.org/net7/korbo2/item/445
Bruchsal	Bruchsal	Q7059	Stadt im Landkreis Karlsruhe (Deutschland)	town in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/9/9d/Bruchsal_%2823%29.jpg	49.133333333333,8.6	POINT(8.6 49.133333333333)	4008388-3	/m/0452j1	2943560		http://purl.org/net7/korbo2/item/705
Bruges	Bruges	Q12994	Stadt in Westflandern, Belgien	city in West Flanders, Belgium	https://upload.wikimedia.org/wikipedia/commons/2/2c/Bruges_view_from_the_belfry.JPG	51.209444444444,3.22	POINT(3.22 51.209444444444)	4069688-1	/m/0k424	2800931	7007867	http://purl.org/net7/korbo2/item/793
Budapest	Budapest	Q1781	Hauptstadt von Ungarn	capital city of Hungary	https://upload.wikimedia.org/wikipedia/commons/3/3e/Montage_of_Budapest.jpg	47.498333333333,19.040833333333	POINT(19.040833333333 47.498333333333)	4008684-7	/m/095w_	3054638	7017994	http://purl.org/net7/korbo2/item/303
Cassel	Kassel	Q2865	Großstadt in Hessen, Deutschland	city in Hesse, Germany	https://upload.wikimedia.org/wikipedia/commons/7/7c/Herkules_wasserspiele_1_ds_05_2006.JPG	51.315777777778,9.4979166666667	POINT(9.4979166666667 51.315777777778)	4029869-3	/m/0bkv0	2892518	7004431	http://purl.org/net7/korbo2/item/254
Catanzaro	Catanzaro	Q3883	italienische Gemeinde	Italian city and capital of the Calabria province	https://upload.wikimedia.org/wikipedia/commons/4/4b/Collage_-_Catanzaro.png	38.91,16.5875	POINT(16.5875 38.91)	4229457-5	/m/046jpv	6541858		http://korbo2.org/v1/items/104847
Charlottenburg	Charlottenburg	Q162049	Ortsteil von Berlin	locality of Berlin, Germany	https://upload.wikimedia.org/wikipedia/commons/4/42/Charlottenburg_Hohenzollern_2.jpg	52.516666666667,13.3	POINT(13.3 52.516666666667)	4087306-7	/m/022nb8	2940187		http://purl.org/net7/korbo2/item/59
Corfu	Corfu	Q205832	Hauptstadt der griechischen Insel und Gemeinde Korfu	Capital of the Greek island and municipality of Corfu	https://upload.wikimedia.org/wikipedia/commons/2/22/Platia_Dimarchiu.jpg	39.616666666667,19.916666666667	POINT(19.916666666667 39.616666666667)	4192393-5	/m/09lgkz	2463679		http://purl.org/net7/korbo2/item/439
Czernowitz	Chernivtsi	Q157725	Stadt in der Ukraine	city in Ukraine	https://upload.wikimedia.org/wikipedia/commons/5/5b/%D0%92%D0%B5%D1%87%D1%96%D1%80%D0%BD%D1%94_%D0%BC%D1%96%D1%81%D1%82%D0%BE.jpg	48.290833333333,25.934444444444	POINT(25.934444444444 48.290833333333)	63628-9	/m/01_w5q	710719		http://korbo2.org/v1/items/104939
Děčín	Děčín	Q146307	Stadt in Tschechien	town in Czech Republic	https://upload.wikimedia.org/wikipedia/commons/6/6c/Decin.JPG	50.773611111111,14.196111111111	POINT(14.196111111111 50.773611111111)	4106190-1	/m/03r7t7	3077244		http://purl.org/net7/korbo2/item/38
Den Haag	The Hague	Q36600	Hauptstadt der Provinz Südholland, Parlaments- und Regierungssitz der Niederlande	municipality in the Netherlands, seat of the Dutch government	https://upload.wikimedia.org/wikipedia/commons/c/cf/Het_Plein_2012.jpg	52.084166666667,4.3175	POINT(4.3175 52.084166666667)	4011446-6	/m/07g0_	2747372	7006810	http://purl.org/net7/korbo2/item/800
Dresden	Dresden	Q1731	Landeshauptstadt des Freistaates Sachsen, Deutschland	capital city of the Free State of Saxony in Germany		51.049258333333,13.738361111111	POINT(13.738361111111 51.049258333333)	4012995-0	/m/09b9m	2935020	7004455	http://purl.org/net7/korbo2/item/264
Ebenhausen	Baar-Ebenhausen	Q490463	Gemeinde in Deutschland	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/9/9b/Baar-kirche.jpg	48.666666666667,11.433333333333	POINT(11.433333333333 48.666666666667)	4702174-3	/m/02q6w2p	3208325		http://purl.org/net7/korbo2/item/412
Edgbaston-Birmingham	Edgbaston	Q3047556	Stadtteil von Birmingham, England	area in the city of Birmingham, England		52.45805,-1.9190472222222	POINT(-1.9190472222222 52.45805)	5114525-X	/m/02n7wd	2650236		http://purl.org/net7/korbo2/item/279
Florence	Florence	Q2044	Hauptstadt der Toskana und der Provinz Florenz	Italian city, located in Tuscany	https://upload.wikimedia.org/wikipedia/commons/6/63/Collage_Firenze.jpg	43.771388888889,11.254166666667	POINT(11.254166666667 43.771388888889)	4017581-9	/m/031y2	6542285	7000457	http://korbo2.org/v1/items/2520
Florenz	Florence	Q2044	Hauptstadt der Toskana und der Provinz Florenz	Italian city, located in Tuscany	https://upload.wikimedia.org/wikipedia/commons/6/63/Collage_Firenze.jpg	43.771388888889,11.254166666667	POINT(11.254166666667 43.771388888889)	4017581-9	/m/031y2	6542285	7000457	http://purl.org/net7/korbo2/item/261
Francoforte sul Meno	Frankfurt	Q1794	Großstadt in Hessen	city in Germany	https://upload.wikimedia.org/wikipedia/commons/d/d7/Skyline_Frankfurt_am_Main_2015.jpg	50.113611111111,8.6797222222222	POINT(8.6797222222222 50.113611111111)	4018118-2	/m/02z0j	2925533	7005293	http://purl.org/net7/korbo2/item/385
Frankfurt a. d. Oder	Frankfurt (Oder)	Q4024	kreisfreie Stadt in Brandenburg, Deutschland	town in Brandenburg, Germany	https://upload.wikimedia.org/wikipedia/commons/5/59/01_Luftbild_Frankfurt_oder_Slubice_09072011.jpg	52.35,14.55	POINT(14.55 52.35)	4018122-4	/m/0p828	2925535		http://purl.org/net7/korbo2/item/313
Frankfurt am Main	Frankfurt	Q1794	Großstadt in Hessen	city in Germany	https://upload.wikimedia.org/wikipedia/commons/d/d7/Skyline_Frankfurt_am_Main_2015.jpg	50.113611111111,8.6797222222222	POINT(8.6797222222222 50.113611111111)	4018118-2	/m/02z0j	2925533	7005293	http://purl.org/net7/korbo2/item/2594
Frauenfeld	Frauenfeld	Q68120	Schweizer Gemeinde und Hauptort des Kantons Thurgau	town in, and capital of, the Swiss canton of Thurgau	https://upload.wikimedia.org/wikipedia/commons/f/fa/20080507_1708MESZ_Schloss_Frauenfeld_1680x1050_HDR.jpg	47.555833333333,8.8963888888889	POINT(8.8963888888889 47.555833333333)	4018220-4	/m/05sx7q	2660727		http://purl.org/net7/korbo2/item/821
Freiburg im Breisgau	Freiburg im Breisgau	Q2833	Großstadt in Baden-Württemberg, Deutschland	large city in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/3/39/Freiburger_M%C3%BCnster.jpg	47.994722222222,7.8497222222222	POINT(7.8497222222222 47.994722222222)	4018272-1	/m/0ptj2	2925177		http://purl.org/net7/korbo2/item/422
Fusio	Lavizzara	Q68005	Gemeinde in der Schweiz	municipality in Vallemaggia, canton of Ticino, Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/39/Lavizzara_Prato-Sornico.jpg	46.433333333333,8.65	POINT(8.65 46.433333333333)	7578969-3	/m/0gxmr_	7286292		http://purl.org/net7/korbo2/item/441
Gemmingen	Gemmingen	Q518786	Gemeinde in Deutschland	municipality in Germany	https://upload.wikimedia.org/wikipedia/commons/e/e4/Rathaus_Gemmingen.jpg	49.15,8.9833333333333	POINT(8.9833333333333 49.15)	4020061-9	/m/02p_pl0	2921389		http://purl.org/net7/korbo2/item/416
Genève	Geneva	Q71	Schweizer Stadt und Hauptort des Kantons Genf	city in Switzerland and capital of its canton	https://upload.wikimedia.org/wikipedia/commons/3/3b/Geneva_from_Mount_Sal%C3%A8ve.jpg	46.2,6.15	POINT(6.15 46.2)	4020137-5	/m/03902	7285902	7007279	http://purl.org/net7/korbo2/item/814
Genova	Genoa	Q1449	Italienische Großstadt im Nordwesten Italiens	Italian city	https://upload.wikimedia.org/wikipedia/commons/4/48/Genova-DSCF7470.JPG	44.407186111111,8.9339833333333	POINT(8.9339833333333 44.407186111111)	4020185-5	/m/0hknf	6542282	7008546	http://purl.org/net7/korbo2/item/48
Genua	Genoa	Q1449	Italienische Großstadt im Nordwesten Italiens	Italian city	https://upload.wikimedia.org/wikipedia/commons/4/48/Genova-DSCF7470.JPG	44.407186111111,8.9339833333333	POINT(8.9339833333333 44.407186111111)	4020185-5	/m/0hknf	6542282	7008546	http://purl.org/net7/korbo2/item/2047
Giessbach	Grandhotel Giessbach	Q14558102	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	https://upload.wikimedia.org/wikipedia/commons/c/c4/Grandhotel_Giessbach.jpg	46.735422,8.023439	POINT(8.023439 46.735422)	4808793-2				http://korbo2.org/v1/items/104887
Gotha	Gotha	Q6986	Stadt in Thüringen	town in Thuringia, Germany	https://upload.wikimedia.org/wikipedia/commons/6/6f/Gotha_Blick_vom_B%C3%BCrgerturm.jpg	50.948888888889,10.718333333333	POINT(10.718333333333 50.948888888889)	4021652-4	/m/035bpp	2918752		http://purl.org/net7/korbo2/item/47
Göttibach b. Thun	Thun	Q68978	Stadt im Kanton Bern in der Schweiz	city in the canton of Bern, Switzerland	https://upload.wikimedia.org/wikipedia/commons/8/80/1_thun_castle_view_2012.jpg	46.759,7.63	POINT(7.63 46.759)	4059991-7	/m/025379	7287306		http://purl.org/net7/korbo2/item/805
Göttingen	Göttingen	Q3033	Großstadt in Niedersachsen, Deutschland	Large city in Lower Saxony, Germany	https://upload.wikimedia.org/wikipedia/commons/8/8a/Goettingen_Marktplatz_Oct06_Antilived.jpg	51.533888888889,9.9355555555556	POINT(9.9355555555556 51.533888888889)	4021477-1	/m/0bj40	2918632		http://purl.org/net7/korbo2/item/442
Haida	Nový Bor	Q1000086	Gemeinde in Tschechien	town in the Liberec Region of the Czech Republic	https://upload.wikimedia.org/wikipedia/commons/9/93/Luftbild_von_Nov%C3%BD_Bor.JPG	50.757681178047,14.555662165889	POINT(14.555662165889 50.757681178047)	4304888-2	/m/07h8_d	3069381		http://purl.org/net7/korbo2/item/795
Hallau	Hallau	Q69172	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/0/06/Hallau-Dorf.jpg	47.6966,8.4578	POINT(8.4578 47.6966)	4398622-5	/m/0fvsnx	7286027		http://purl.org/net7/korbo2/item/424
Hamburg	Hamburg	Q1055	Stadtstaat und ein Land der Bundesrepublik Deutschland	city in Germany, city state and federal state	https://upload.wikimedia.org/wikipedia/commons/d/dd/Hamburg_Binnenalster_%26_Rathaus.jpg	53.55,10	POINT(10 53.55)	4023118-5	/m/03hrz	2911297	7003673	http://purl.org/net7/korbo2/item/310
Hannover	Hanover	Q1715	Hauptstadt von Niedersachsen, Deutschland	capital city of the German federated state of Lower Saxony	https://upload.wikimedia.org/wikipedia/commons/9/9a/Neues_Rathaus_Hannover_M%C3%A4rz_2010.jpg	52.374444444444,9.7386111111111	POINT(9.7386111111111 52.374444444444)	4023349-2	/m/03pbf	2910831	7013260	http://purl.org/net7/korbo2/item/443
Heidelberg	Heidelberg	Q2966	Großstadt in Baden-Württemberg, Deutschland	city in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/b/b4/Heidelberg_corr.jpg	49.412222222222,8.71	POINT(8.71 49.412222222222)	4023996-2	/m/0cm5m	2907911		http://purl.org/net7/korbo2/item/448
Helmstedt	Helmstedt	Q486562	Kreisstadt des Landkreises Helmstedt	municipality of Germany	https://upload.wikimedia.org/wikipedia/commons/5/52/Juleum_Helmstedt.jpg	52.228055555556,11.010555555556	POINT(11.010555555556 52.228055555556)	4024344-8	/m/033npq	2906676		http://purl.org/net7/korbo2/item/60
Herren-Chiemsee	Herreninsel	Q694888	größte Insel im Chiemsee	238 hectare island in Bavaria's largest lake, the Chiemsee	https://upload.wikimedia.org/wikipedia/commons/a/aa/Aerials_Bavaria_16.06.2006_11-39-31.jpg	47.860556,12.398056	POINT(12.398056 47.860556)	4024575-5	/m/0gbg8m	2905641		http://purl.org/net7/korbo2/item/434
Herzogenbuchsee	Herzogenbuchsee	Q67499	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/b/bd/Herzogenbuchsee_Luft_2017.jpg	47.18838,7.70619	POINT(7.70619 47.18838)	4124691-3	/m/030h5k	7286078		http://purl.org/net7/korbo2/item/305
Hottingen	Hottingen	Q693454	Quartier der Stadt Zürich, Schweiz	quarter of the city of Zurich, Switzerland		47.3681,8.5604	POINT(8.5604 47.3681)	4398622-5		6295507		http://purl.org/net7/korbo2/item/790
Imola	Imola	Q50195	Stadt in Oberitalien	town and comune in Italy	https://upload.wikimedia.org/wikipedia/commons/a/a4/Rocca_Sforzesca_-_Imola.jpg	44.353444388889,11.714373194444	POINT(11.714373194444 44.353444388889)	4235717-2	/m/03pnyr	6541032		http://purl.org/net7/korbo2/item/377
Innsbruck	Innsbruck	Q1735	Hauptstadt von Tirol	federated state capital of Tyrol, Austria	https://upload.wikimedia.org/wikipedia/commons/8/8d/Panorama_Innsbruck_1.jpg	47.266666666667,11.383333333333	POINT(11.383333333333 47.266666666667)	4027096-8	/m/0fhmy	2775216	7003249	http://purl.org/net7/korbo2/item/20
İstanbul	Istanbul	Q406	türkische Stadt am Bosporus	largest city in Turkey	https://upload.wikimedia.org/wikipedia/commons/5/5e/Istanbul2010.jpg	41.01,28.960277777778	POINT(28.960277777778 41.01)	4027821-9	/m/09949m	745044	7002473	http://purl.org/net7/korbo2/item/104795
Jena	Jena	Q3150	Großstadt an der Saale in Thüringen, Deutschland	city in Thuringia, Germany	https://upload.wikimedia.org/wikipedia/commons/6/6d/Zentrum_Jenas_2008-05-24.JPG	50.927222222222,11.586388888889	POINT(11.586388888889 50.927222222222)	4028557-1	/m/018_7x	2895042		http://purl.org/net7/korbo2/item/40
Karlsruhe	Karlsruhe	Q1040	Großstadt in Baden-Württemberg	German city in the state of Baden-Württemberg	https://upload.wikimedia.org/wikipedia/commons/9/99/Karlsruhe-Schloss-meph666-2005-Apr-22.jpg	49.016666666667,8.4	POINT(8.4 49.016666666667)	4029713-5	/m/0qb1z	2892794	7004424	http://purl.org/net7/korbo2/item/27
Kiel	Kiel	Q1707	Landeshauptstadt von Schleswig-Holstein, Deutschland	city in Schleswig-Holstein, Germany	https://upload.wikimedia.org/wikipedia/commons/6/62/KielerStadtzentrumLuftaufnahme.jpg	54.323333333333,10.139444444444	POINT(10.139444444444 54.323333333333)	4030481-4	/m/0g7pm	2891122		http://purl.org/net7/korbo2/item/257
Kilchberg (Zürich)	Kilchberg	Q66633	Gemeinde im Kanton Zürich in der Schweiz	municipality in the canton of Zürich, Switzerland	https://upload.wikimedia.org/wikipedia/commons/d/da/Kilchberg.JPG	47.324722222222,8.5491666666667	POINT(8.5491666666667 47.324722222222)	4097898-9	/m/04ff98	2660161		http://korbo2.org/v1/items/104948
Köln	Cologne	Q365	Metropole in Nordrhein-Westfalen, Deutschland	city in North Rhine-Westphalia, Germany	https://upload.wikimedia.org/wikipedia/commons/b/be/Stadtbild_K%C3%B6ln_%2850MP%29.jpg	50.942222222222,6.9577777777778	POINT(6.9577777777778 50.942222222222)	4031483-2	/m/01v8c	2886242	7004446	http://purl.org/net7/korbo2/item/425
Königsberg	Königsberg	Q4120832	Königliche Haupt- und Residenzstadt in Preußen	capital city in Prussia	https://upload.wikimedia.org/wikipedia/commons/b/ba/K%C3%B6nigsberg_Castle.jpg	54.716666666667,20.516666666667	POINT(20.516666666667 54.716666666667)	4031541-1	/m/03m7lkk	554234		http://purl.org/net7/korbo2/item/253
Krakau	Kraków	Q31487	Stadt in Polen	city in Lesser Poland Voivodeship, Poland	https://upload.wikimedia.org/wikipedia/commons/b/be/Collage_of_views_of_Cracow.PNG	50.061388888889,19.937222222222	POINT(19.937222222222 50.061388888889)	4073760-3	/m/0491y	6690154	7007652	http://purl.org/net7/korbo2/item/306
Krems an der Donau	Krems an der Donau	Q131266	Stadt in Österreich	city in Austria	https://upload.wikimedia.org/wikipedia/commons/4/48/Krems_Panorama.jpg	48.416666666667,15.616666666667	POINT(15.616666666667 48.416666666667)	4033043-6	/m/02hk7f	2773547		http://korbo2.org/v1/items/104770
Kressbronn 	Kressbronn am Bodensee	Q557658	Gemeinde in Deutschland	municipality in Baden-Württemberg, Germany	https://upload.wikimedia.org/wikipedia/commons/e/e9/Kressbronn_church_and_chapell.jpg	47.595833333333,9.6	POINT(9.6 47.595833333333)	4320686-4	/m/02p_g7v	2884344		http://purl.org/net7/korbo2/item/449
Kreuzburg (Oberschlesien)	Kluczbork	Q79322	Stadt in Polen	city of Poland	https://upload.wikimedia.org/wikipedia/commons/f/f0/Kluczbork_Rynek.JPG	50.983333333333,18.216666666667	POINT(18.216666666667 50.983333333333)	4097069-3	/m/0229bc	3096003		http://korbo2.org/v1/items/104755
