place_original	place_reconciled	place_wikidata_id	description_de	description	img_url	coordinate location	WKT	GND ID	Freebase ID	GeoNames ID	TGN ID	place_compilation_korbo_uri
Oldenburg	Oldenburg	Q2936	Großstadt in Niedersachsen, Deutschland	town in Lower Saxony, Germany	https://upload.wikimedia.org/wikipedia/commons/4/4d/Schlosswache_mit_Lambertikirche.jpg	53.143888888889,8.2138888888889	POINT(8.2138888888889 53.143888888889)	4043457-6		2857458		http://purl.org/net7/korbo2/item/308
Paestum	Paestum	Q16896941	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	frazione in Campania, Italy		40.4058,15.0019	POINT(15.0019 40.4058)	4075809-6				http://purl.org/net7/korbo2/item/401
Paläocastrizza	Palaiokastritsa	Q916750	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	village in Greece	https://upload.wikimedia.org/wikipedia/commons/b/b2/Palaiokastritsa_coast%2C_Corfu%2C_Greece.jpg	39.67277778,19.70666667	POINT(19.70666667 39.67277778)	7582721-9	/m/0fvygq	2463615		http://purl.org/net7/korbo2/item/438
Paris	Paris	Q90	Hauptstadt von Frankreich	capital and largest city of France	https://upload.wikimedia.org/wikipedia/commons/6/6e/Paris_-_Eiffelturm_und_Marsfeld2.jpg	48.856577777778,2.3518277777778	POINT(2.3518277777778 48.856577777778)	4044660-8	/m/05qtj	2968815	7008038	http://purl.org/net7/korbo2/item/34
Parkowo	Parkowo	Q5478754	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"	https://upload.wikimedia.org/wikipedia/commons/9/96/Parkowo_church_2.jpg	52.7,16.91667	POINT(16.91667 52.7)			3089452		http://purl.org/net7/korbo2/item/2160
Pfirt	Ferrette	Q392059	französische Gemeinde	commune in Haut-Rhin, France	https://upload.wikimedia.org/wikipedia/commons/f/fd/Ferrette_Chateau_2008.jpg	47.493888888889,7.3158333333333	POINT(7.3158333333333 47.493888888889)	4291049-3	/m/03nssbp	3018659		http://purl.org/net7/korbo2/item/268
Pisa	Pisa	Q13375	Stadt in der Toskana in Italien	city in Tuscany, Central Italy	https://upload.wikimedia.org/wikipedia/commons/f/f4/Pisa_-_veduta_dall%27aereo_4.JPG	43.716666666667,10.4	POINT(10.4 43.716666666667)	4046151-8	/m/064xp	6542122	7006082	http://purl.org/net7/korbo2/item/275
Pontresina	Pontresina	Q69259	Gemeinde in der Schweiz	village in the Engadine valley, Graubünden, Switzerland	https://upload.wikimedia.org/wikipedia/commons/2/2f/Pontresina_Dorf.jpg	46.499722222222,9.8997222222222	POINT(9.8997222222222 46.499722222222)	4046768-5	/m/09_cg9	7286818		http://purl.org/net7/korbo2/item/381
Posen	Poznań	Q268	polnische Großstadt	city in Greater Poland Voivodeship, Poland	https://upload.wikimedia.org/wikipedia/commons/8/84/Collage_of_views_of_Pozna%C5%84%2C_Poland.jpg	52.4,16.916666666667	POINT(16.916666666667 52.4)	4046868-9	/m/05xnv	3088171		http://purl.org/net7/korbo2/item/45
Prague	Prague	Q1085	Hauptstadt Tschechiens	capital city of the Czech Republic	https://upload.wikimedia.org/wikipedia/commons/1/1f/Pet%C5%99%C3%ADn_Tower_View_IMG_3020.JPG	50.088611111111,14.421388888889	POINT(14.421388888889 50.088611111111)	4076310-9	/m/05ywg	3067695	7006464	http://purl.org/net7/korbo2/item/214
Pratteln	Pratteln	Q64679	Gemeinde in der Schweiz	municipality in Switzerland	https://upload.wikimedia.org/wikipedia/commons/8/8d/Pratteln_Industrie.jpg	47.5185,7.69275	POINT(7.69275 47.5185)	4237732-8	/m/060rp8	7286828		http://purl.org/net7/korbo2/item/454
Pula	Pula	Q4656	Stadt in Kroatien	town in Istria County, Croatia	https://upload.wikimedia.org/wikipedia/commons/b/bd/Pula_Aerial_View.jpg	44.866666666667,13.833333333333	POINT(13.833333333333 44.866666666667)	4103444-2	/m/02lw53	3192224		http://korbo2.org/v1/items/2537
Rapallo	Rapallo	Q210098	italienische Gemeinde	Italian comune	https://upload.wikimedia.org/wikipedia/commons/e/e4/Rapallo-IMG_0436.JPG	44.35,9.2333333333333	POINT(9.2333333333333 44.35)	4119974-1	/m/04dn78	6537063		http://purl.org/net7/korbo2/item/436
Rheinfelden	Rheinfelden	Q269667	Gemeinde im Kanton Aargau, Schweiz	municipality in the canton Aargau, Switzerland	https://upload.wikimedia.org/wikipedia/commons/3/3b/Old-Town_of_Rheinfelden_with_the_Rhein.JPG	47.553888888889,7.7958333333333	POINT(7.7958333333333 47.553888888889)	4049753-7	/m/05l3tk	7286892		http://purl.org/net7/korbo2/item/772
Riesbach	Riesbach	Q677710	Stadtteil von Zürich	"<?xml version='1.0' encoding='UTF-8'?>
<sparql xmlns='http://www.w3.org/2005/sparql-results#'>
	<head>
		<variable name='value'/>
	</head>
	<results>
	</results>
</sparql>
"		47.355,8.561	POINT(8.561 47.355)	4260374-2	/m/03h4z31	6295542		http://purl.org/net7/korbo2/item/217
